"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Immunization Service","0","Update the immunization of a patient","25","0","","0"
"0","Immunization Service","0","Create the immunization event for a patient","65","0","","0"
"0","Immunization Service","0","Search the immunization of a patient","52","0","","0"
"0","Immunization Service","0","Read the immunization of a patient","6","0","","0"
"0","Immunization Service","0","Delete an immunization of a patient","5","0","","0"
